doy,theta_start_deg,theta_end_deg,theta_start_raw_deg,theta_end_raw_deg,n_samples_start,n_samples_end,n_years
238,-1.5759163758013255,-0.556681676811684,-1.3824384996118053,-0.910677374173765,120,120,6
239,-1.5807291921581168,-0.5545737359169967,-1.6240451873819859,-0.910677374173765,120,120,6
240,-1.58530921721861,-0.552430040586394,-1.377947517846091,-0.7361809605389882,120,120,6
241,-1.5896503407280795,-0.5502479894721602,-1.377947517846091,-0.7324859638768411,120,120,6
242,-1.5937467227217692,-0.5480250424464541,-1.4290032349513346,-0.6325658269000657,120,120,6
243,-1.5975928006216993,-0.5457587251020218,-1.4290032349513346,-0.6325658269000657,120,120,6
244,-1.6011832960097785,-0.5434466331702785,-1.4290032349513346,-0.6186160456456796,120,120,6
245,-1.6045132210691744,-0.5410864368511132,-1.481988314838653,-0.6186160456456796,120,120,6
246,-1.6075778846862845,-0.5386758850488693,-1.6240451873819859,-0.6186160456456796,120,120,6
247,-1.6103728982060521,-0.5362128095090687,-1.6240451873819859,-0.6325658269000657,120,120,6
248,-1.6128941808337727,-0.5336951288505691,-1.6240451873819859,-0.7021598994306583,120,120,6
249,-1.6151379646769595,-0.5311208524879624,-1.5830895148543374,-0.725660976998302,120,120,6
250,-1.6171007994212554,-0.5284880844391611,-1.5830895148543374,-0.725660976998302,120,120,6
251,-1.6187795566348104,-0.5257950270132525,-1.480069120588025,-0.725660976998302,120,120,6
252,-1.6201714336959812,-0.5230399843738469,-1.5830895148543374,-0.6233262890754053,120,120,6
253,-1.6212739573396517,-0.520221365973291,-1.5830895148543374,-0.6233262890754053,120,120,6
254,-1.622084986817926,-0.5173376898532787,-1.629456701957669,-0.6233262890754053,120,120,6
255,-1.6226027166713894,-0.5143875858075463,-1.6927769933957535,-0.725660976998302,120,120,6
256,-1.6228256791076061,-0.5113697984025092,-1.6228868525340654,-0.591302456669101,120,120,6
257,-1.6227527459839683,-0.5082831898518623,-1.6228868525340654,-0.5636164728519898,120,120,6
258,-1.622383130392491,-0.5051267427413475,-1.5578478098064077,-0.5040188981740584,120,120,6
259,-1.6217163878446053,-0.5018995626000676,-1.5422311883327577,-0.4993304236187496,120,120,6
260,-1.6207524170544807,-0.49860088031490996,-1.5422311883327577,-0.4993304236187496,120,120,6
261,-1.6194914603198742,-0.49523005438483636,-1.5578478098064077,-0.46391849500504834,120,120,6
262,-1.6179341034999823,-0.4917865730119819,-1.5578478098064077,-0.46391849500504834,120,120,6
263,-1.6160812755902427,-0.4882700560267058,-1.5578478098064077,-0.46391849500504834,120,120,6
264,-1.6139342478945098,-0.4846802566439355,-1.5578478098064077,-0.46391849500504834,120,120,6
265,-1.6114946327955006,-0.48101706304834735,-1.5578478098064077,-0.46391849500504834,120,120,6
266,-1.6087643821248818,-0.47728049980613574,-1.5448097800358183,-0.46391849500504834,120,120,6
267,-1.6057457851348362,-0.4734707291013274,-1.5460529936360614,-0.34471059446503893,118,120,6
268,-1.6024414660734263,-0.46958805179481233,-1.5417452968854288,-0.2681734844670968,119,120,6
269,-1.5988543813665237,-0.46563290830447246,-1.541609581532636,-0.21788177992057986,120,120,6
