capacity_kwh,power_kw,bound,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
7.5,3.7,charge_first,3116.3300624271214,2512.543396553254,1948.1596833766755,1401.9110642317253,27.56627326924711,34.18780471945472,189.8878921675879,74.70300981228593,54.67530147481739
8.0,3.7,charge_first,3083.592909630946,2476.0937690551714,1925.4297740674451,1380.0730420298562,28.41138471137792,35.21298257727976,182.3274190118739,65.4743055923509,43.67604440373816
8.5,3.7,charge_first,3055.2076413015343,2444.4795687424253,1907.1098970326457,1362.698332324277,29.092528550973064,36.028631884329776,175.11748022533968,56.7705366588234,34.749419411158215
9.0,3.7,charge_first,3030.7103134621225,2417.1853023074223,1891.8814269989525,1348.4121467801403,29.658732053879,36.699291569407656,168.2539158665554,48.99465567882362,28.572371088273485
9.5,3.7,charge_first,3009.18851645133,2393.1971812375937,1878.9365253273218,1336.3504437747097,30.14003113743985,37.265523746228624,161.78313325981307,43.043594021584795,24.123406010861345
10.0,3.7,charge_first,2990.5963884068965,2372.4642479081126,1867.9353440558104,1326.2896156753793,30.54906154944127,37.73782559222339,155.65104270676363,37.18425608886719,20.12165619866073
10.5,3.7,charge_first,2974.144390639731,2354.139553056812,1858.5105138945896,1317.780121573699,30.89948229688142,38.1373006387131,149.8884113765848,32.90399553433144,17.01898820336055
11.0,3.7,charge_first,2959.4616779796875,2337.8254278789755,1850.3589271717315,1310.5061902279742,31.202563101881008,38.47877264959596,144.4803460422468,29.365425320086615,14.547862691449609
11.5,3.7,charge_first,2946.106802360344,2322.986677190815,1842.7223318747456,1303.7472503081217,31.48649622174543,38.796068578877026,139.4210061108313,26.709751238687204,13.517879839705074
12.0,3.7,charge_first,2933.7569427140243,2309.264610917125,1835.8191992834556,1297.7217730939642,31.743158765360434,39.07893237330319,134.69511854448703,24.6997192926392,12.05095442831498
12.5,3.7,charge_first,2922.339399164245,2296.5784514173943,1829.7566051547783,1292.5368343424243,31.968569592893292,39.32233740115423,130.268791154267,22.835087099558223,10.369877503079806
13.0,3.7,charge_first,2912.1200261563986,2285.2235925197815,1824.4761884207371,1288.118306263756,32.16489860329305,39.529763564043705,126.08593262872657,20.43874601569314,8.83705615733652
13.5,3.7,charge_first,2902.7467859912945,2274.808881225221,1819.5068319535044,1283.9590932215685,32.34966220940122,39.72501627866283,122.14694020505864,18.746480330208215,8.318426084375005
